UserID,FirstName,LastName,Email,Phone,IsActive
1,Laura,Butkus,aronas32@zukauskas.org,001338908386,True
2,Radvilė,Kalvelis,vasaregintalas@kalvelis-urbonas.com,116155940781,True
3,Mindaugas,Poška,monika31@gmail.com,413164752553,True
4,Vėjūnė,Stankevičius,jorisgrinius@kalvelis-poska.com,030564139537,True
5,Agnė,Grinius,nojus38@kalvaitis.com,287101226916,True
6,Smiltė,Grinius,butkusrita@hotmail.com,514627048281,True
7,Laura,Naujokas,kipraskavaliauskas@narusis.info,154303911718,True
8,Robertas,Gronskis,meda96@nauseda.com,657871331509,True
9,Markas,Ambrasas,pociusmarkas@petrauskas.com,473829973763,False
10,Edgaras,Gintalas,dgaldikas@hotmail.com,106513338726,True
11,Arvydas,Grinius,ginzburgaszemyna@pocius.net,132677360260,True
12,Ignas,Grinius,qposka@hotmail.com,234309805009,True
13,Adrija,Narušis,naujokasmindaugas@stankevicius.com,619399091699,True
14,Aivaras,Kalvaitis,ernestas46@kaupas.com,079911838425,True
15,Aronas,Gailys,zivilenauseda@hotmail.com,980841241182,True
16,Kęstutis,Akelis,elenakalvaitis@hotmail.com,401640052427,True
17,Ignė,Gintalas,stankeviciusineta@nauseda.com,620450533158,False
18,Laurita,Urbonas,viliusgaldikas@sakalauskas.com,342160733754,True
19,Justas,Jankauskas,rgagys@kalvelis.net,850142940196,False
20,Karolina,Kiška,gaizauskasmonika@gmail.com,060883561595,True
21,Vytė,Kaupas,zkiska@hotmail.com,823662994680,True
22,Rytis,Akelis,viktorija77@hotmail.com,872148951343,True
23,Aurimas,Jankauskas,brigitastankevicius@galdikas-povilonis.com,763201632870,False
24,Vaidas,Butkus,eglenarusis@hotmail.com,798687277434,True
25,Giedrė,Kairys,tstankevicius@yahoo.com,455812236231,True
26,Dominyka,Gagys,npocius@yahoo.com,909670546688,True
27,Domantas,Nagys,karina70@gagys-gaiciunas.com,298069901627,True
28,Martynas,Kalvaitis,vakris75@yahoo.com,464170805310,True
29,Vaidas,Žukauskas,ernestaspaulauskas@butkus-povilonis.com,452991241904,True
30,Aušrinė,Gaižauskas,danieliuskairys@gmail.com,919058651850,True
31,Iveta,Žukauskas,medeja72@yahoo.com,849877694531,False
32,Ramunė,Kairys,bgagys@yahoo.com,273545494808,True
33,Paulius,Kairys,wposka@gmail.com,770143634957,True
34,Meda,Gailius,rojus74@yahoo.com,313518233749,True
35,Smiltė,Kalvėnas,gediminasambrasas@sakalauskas-kaupas.com,400842710947,True
36,Živilė,Gagys,kalvaitisrasa@stankevicius.info,902294131869,True
37,Laurita,Ambrasas,tginzburgas@hotmail.com,499091334123,False
38,Leila,Stankevičius,galdikasramune@gronskis.com,471349361832,True
39,Egidijus,Stankevičius,irmantaspovilonis@ginzburgas-butkus.info,648877190659,False
40,Karolis,Vsiliauskas,kalvelismonika@sakalauskas.net,429671756551,True
41,Šarūnas,Galdikas,neringa68@gmail.com,154516808760,True
42,Liepa,Gailys,npocius@yahoo.com,477109324808,True
43,Armandas,Ambrasas,pbutkus@nagys.com,677378263982,True
44,Julius,Galdikas,tomas44@hotmail.com,278755886753,True
45,Greta,Gaižauskas,upetrauskas@gronskis.com,028951718702,True
46,Lėja,Urbonas,vkalvaitis@gaiciunas.net,578091343161,True
47,Jolanta,Kavaliauskas,petrauskasramunas@gmail.com,556238692221,True
48,Audrius,Kairys,antanasgrinius@hotmail.com,740748217594,True
49,Ineta,Kalvaitis,gabrielius67@gmail.com,695944064090,True
50,Enrika,Nagys,amelijagailius@gmail.com,942104709521,True
51,Ramūnas,Galdikas,eimantasnauseda@narusis-naujokas.com,474517123685,False
52,Raminta,Kazlauskas,griniusorestas@hotmail.com,965137098593,True
53,Medėja,Grinius,ibutkus@gmail.com,471138267586,False
54,Enrika,Urbonas,nagysolivija@yahoo.com,053773515850,True
55,Julius,Žukauskas,qvsiliauskas@jankauskas.com,293183933529,True
56,Julius,Urbonas,domas10@kazlauskas.com,024026811775,True
57,Aurelija,Žukauskas,olivijapetrauskas@hotmail.com,700766177115,True
58,Aurimas,Stankevičius,jorune98@kiska.com,896118367365,True
59,Dovilė,Galdikas,ruta54@urbonas-gronskis.com,116152809885,True
60,Ana,Gailius,kalvenasingrida@yahoo.com,198327315851,True
61,Greta,Ambrasas,kalvelisdovydas@gmail.com,455022961201,True
62,Tautvydas,Gaižauskas,kgagys@yahoo.com,599102290147,True
63,Giedrė,Ginzburgas,tautvydas81@yahoo.com,149784036900,True
64,Naglis,Akelis,aistis51@nagys.biz,268388516060,False
65,Danielius,Kiška,sgaldikas@gmail.com,052975161369,False
66,Milda,Vsiliauskas,enrika53@yahoo.com,181883552312,True
67,Gabrielius,Sakalauskas,sakalauskasdiana@nagys.org,995527177449,True
68,Rojus,Naujokas,egle70@gailys.com,998679807935,True
69,Brigita,Naujokas,ginzburgasnedas@vsiliauskas-naujokas.com,377889255466,True
70,Aušrinė,Pocius,gagysedgaras@hotmail.com,449251925462,True
71,Gytė,Vsiliauskas,igagys@hotmail.com,685054235733,True
72,Laurynas,Stankevičius,naujokasdiana@hotmail.com,592962229270,True
73,Ričardas,Kairys,vanesa73@hotmail.com,473597746886,False
74,Benas,Paulauskas,gronskiskipras@hotmail.com,814124782613,True
75,Linas,Jankauskas,gaiciunasadrija@yahoo.com,615305152204,True
76,Vasarė,Paulauskas,fkazlauskas@gmail.com,328986143410,True
77,Kristina,Grinius,nagyssmilte@jankauskas.com,460953962185,True
78,Milda,Nausėda,cgronskis@gaizauskas.com,153195205852,True
79,Vasarė,Gronskis,matasgrinius@kalvenas.com,054868740345,False
80,Lėja,Gagys,gailyskarina@yahoo.com,652775841616,False
81,Evaldas,Nausėda,nedas15@hotmail.com,479627570596,False
82,Laura,Pocius,ggailys@kavaliauskas.org,021355690927,True
83,Kipras,Ginzburgas,medagailys@kiska-kalvelis.com,027868144739,True
84,Ligita,Nagys,paulauskasaugustas@sakalauskas-ginzburgas.com,518844225831,True
85,Nojus,Kairys,gailysleila@hotmail.com,782911467866,True
86,Augustas,Paulauskas,ginzburgasviktorija@hotmail.com,289226801824,True
87,Joris,Kiška,liepa41@zukauskas-poska.com,498182992299,False
88,Rytė,Petrauskas,petrauskasagne@kalvaitis.biz,784473647102,False
89,Erika,Gronskis,dainiusurbonas@yahoo.com,562588153714,True
90,Vaidas,Urbonas,kalvenasromualdas@galdikas.com,327877470168,True
91,Ernestas,Akelis,pociuskestutis@yahoo.com,480162456506,True
92,Perla,Poška,leila41@naujokas-ginzburgas.net,991216558523,False
93,Paulina,Gaičiūnas,petrauskasnojus@gagys.info,982595269495,True
94,Paulina,Nausėda,brigita05@yahoo.com,694097499309,True
95,Erikas,Narušis,ritakairys@gmail.com,307562636897,True
96,Ignė,Paulauskas,neringa78@kiska-sakalauskas.info,854973348434,True
97,Ignė,Akelis,rasa58@hotmail.com,419866524041,True
98,Jolanta,Kalvaitis,benasnauseda@yahoo.com,219933083301,False
99,Šarūnas,Gronskis,lukasposka@galdikas.info,345401938026,True
100,Darius,Gaičiūnas,aurejakalvenas@gmail.com,499154788728,False
